instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,algorithms_tested,seeds_tested,best_observed_objective,best_algorithm_ids,fastest_observed_wall_time_ms,fastest_algorithm_ids,depot_count,customer_count,salesman_count,return_to_depot,median_wall_time_ms,p90_wall_time_ms
g03_i36_c500_d5_m16_adversarial,adversarial,13,13,13,1.0,13,1,10350.36665782843,lkh_mdmtsp_v5_portfolio,0.488,nearest_neighbour,5,500,16,True,556.494,11736.774400000002
g03_i37_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,10181.035623035235,lkh_mdmtsp_v5_portfolio,0.67,nearest_neighbour,4,500,13,True,323.333,11235.693200000002
g03_i38_c500_d5_m16_adversarial,adversarial,13,13,13,1.0,13,1,9589.346503097937,lkh_mdmtsp_v5_portfolio,0.466,nearest_neighbour,5,500,16,True,570.29,11586.314600000002
g03_i39_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,10556.196193556905,lkh_mdmtsp_v5_portfolio,0.474,nearest_neighbour,4,500,13,True,347.703,11149.855800000003
g03_i40_c500_d5_m16_adversarial,adversarial,13,13,13,1.0,13,1,10324.556020544578,lkh_mdmtsp_v5_portfolio,0.486,nearest_neighbour,5,500,16,True,432.653,11571.242400000003
g03_i41_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,10698.698776708647,lkh_mdmtsp_v5_portfolio,0.47,nearest_neighbour,4,500,12,True,105.16,8791.976999999999
g03_i42_c500_d5_m14_adversarial,adversarial,13,13,13,1.0,13,1,10473.677007613927,lkh_mdmtsp_v5_portfolio,0.565,nearest_neighbour,5,500,14,True,85.725,9193.480599999999
g03_i43_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,11128.117008679226,lkh_mdmtsp_v4_portfolio,0.494,nearest_neighbour,4,500,12,True,323.406,10756.771600000002
g03_i44_c500_d5_m14_adversarial,adversarial,13,13,13,1.0,13,1,10774.179390621852,lkh_mdmtsp_v5_portfolio,0.521,nearest_neighbour,5,500,14,True,419.136,11205.438800000002
g03_i45_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,10609.192678242414,lkh_mdmtsp_v4_portfolio,0.46,nearest_neighbour,4,500,12,True,286.625,10780.059000000001
g03_i46_c500_d5_m14_adversarial,adversarial,13,13,13,1.0,13,1,9931.171984741628,lkh_mdmtsp_v4_portfolio,0.494,nearest_neighbour,5,500,14,True,162.303,9181.1808
g03_i47_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,9521.949542106648,lkh_mdmtsp_v5_portfolio,0.504,nearest_neighbour,4,500,12,True,206.053,8654.604200000002
g03_i48_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,9547.627842296939,lkh_mdmtsp_v5_portfolio,0.492,nearest_neighbour,4,500,13,True,154.632,8870.8384
g03_i49_c500_d5_m15_adversarial,adversarial,13,13,13,1.0,13,1,9792.533513922106,lkh_mdmtsp_v5_portfolio,0.502,nearest_neighbour,5,500,15,True,524.221,11322.670600000003
g03_i50_c500_d4_m12_adversarial,adversarial,13,13,13,1.0,13,1,9834.55770727877,lkh_mdmtsp_v5_portfolio,0.539,nearest_neighbour,4,500,12,True,246.474,8702.1888
g03_i51_c500_d4_m13_adversarial,adversarial,13,13,13,1.0,13,1,9658.341779267015,lkh_mdmtsp_v5_portfolio,0.505,nearest_neighbour,4,500,13,True,323.156,10908.030600000002
g03_i52_c500_d5_m15_adversarial,adversarial,13,13,13,1.0,13,1,9852.55024455881,lkh_mdmtsp_v4_portfolio,0.5,nearest_neighbour,5,500,15,True,730.058,11358.856400000002
g03h_i01_c500_d3_m5_hard_adversarial,adversarial,13,13,13,1.0,13,1,13681.234052851809,lkh_mdmtsp_v5_portfolio,0.588,nearest_neighbour,3,500,5,True,169.26,9348.127400000001
g03h_i02_c500_d3_m6_hard_adversarial,adversarial,13,13,13,1.0,13,1,13904.030873971733,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",0.477,nearest_neighbour,3,500,6,True,165.995,9659.697600000001
