algorithm_id,instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,suite_names,depot_count,customer_count,salesman_count,return_to_depot,best_objective,mean_objective,median_objective,min_gap_to_best_observed,mean_gap_to_best_observed,median_gap_to_best_observed,min_time_ratio_to_fastest,mean_time_ratio_to_fastest,median_time_ratio_to_fastest,min_time_gap_to_fastest,mean_time_gap_to_fastest,median_time_gap_to_fastest,total_wall_time_s,mean_wall_time_ms,median_wall_time_ms,p90_wall_time_ms,median_wall_time_per_customer_us
nearest_neighbour,g03_i15_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,26716.851070996323,26716.851070996323,26716.851070996323,0.9472373099627593,0.9472373099627593,0.9472373099627593,1.0,1.0,1.0,0.0,0.0,0.0,0.00048699999999999997,0.487,0.487,0.487,0.974
nearest_neighbour_2opt,g03_i15_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,25669.344579978442,25669.344579978442,25669.344579978442,0.8708905984316042,0.8708905984316042,0.8708905984316042,1.8295687885010268,1.8295687885010268,1.8295687885010268,0.8295687885010267,0.8295687885010267,0.8295687885010267,0.000891,0.891,0.891,0.891,1.782
nearest_neighbour_2opt_v2,g03_i15_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,24581.52495516576,24581.52495516576,24581.52495516576,0.7916056948957794,0.7916056948957794,0.7916056948957794,1.6673511293634498,1.6673511293634498,1.6673511293634498,0.6673511293634496,0.6673511293634496,0.6673511293634496,0.000812,0.812,0.812,0.812,1.624
random_insertion,g03_i15_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,13720.387820376798,13720.387820376798,13720.387820376798,0.0,0.0,0.0,2.486652977412731,2.486652977412731,2.486652977412731,1.486652977412731,1.486652977412731,1.486652977412731,0.001211,1.211,1.211,1.211,2.422
cheapest_insertion,g03_i16_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,23959.160998633928,23959.160998633928,23959.160998633928,0.8256411473585359,0.8256411473585359,0.8256411473585359,4.650099403578529,4.650099403578529,4.650099403578529,3.650099403578529,3.650099403578529,3.650099403578529,0.002339,2.339,2.339,2.339,4.678
cheapest_insertion_2opt,g03_i16_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,23299.17632874857,23299.17632874857,23299.17632874857,0.7753516080029111,0.7753516080029111,0.7753516080029111,5.135188866799205,5.135188866799205,5.135188866799205,4.135188866799205,4.135188866799205,4.135188866799205,0.0025830000000000002,2.583,2.583,2.583,5.166
cheapest_insertion_tabu,g03_i16_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,22945.952609732616,22945.952609732616,22945.952609732616,0.7484366523542011,0.7484366523542011,0.7484366523542011,5.9483101391650095,5.9483101391650095,5.9483101391650095,4.9483101391650095,4.9483101391650095,4.9483101391650095,0.002992,2.992,2.992,2.992,5.984
cheapest_insertion_vnd,g03_i16_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,20781.26355734156,20781.26355734156,20781.26355734156,0.5834915858092168,0.5834915858092168,0.5834915858092168,17316.055666003977,17316.055666003977,17316.055666003977,17315.055666003977,17315.055666003977,17315.055666003977,8.709976000000001,8709.976,8709.976,8709.976,17419.952
nearest_neighbour,g03_i16_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,25381.813220062882,25381.813220062882,25381.813220062882,0.9340444605617741,0.9340444605617741,0.9340444605617741,1.0,1.0,1.0,0.0,0.0,0.0,0.000503,0.503,0.503,0.503,1.006
nearest_neighbour_2opt,g03_i16_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,24367.579696541936,24367.579696541936,24367.579696541936,0.8567618523070092,0.8567618523070092,0.8567618523070092,1.5487077534791251,1.5487077534791251,1.5487077534791251,0.5487077534791253,0.5487077534791253,0.5487077534791253,0.0007790000000000001,0.779,0.779,0.779,1.558
